nr,GGM-naam,GGM-definitie,GGM-uml-type,GGM-synoniemen,GGM-guid,GGM-bron,domein-iv3,domein-dcat,domein-gemma,GEMMA-naam,GEMMA-definitie,GEMMA-toelichting,GEMMA-synoniemen,GEMMA-bron,GEMMA-URL,GEMMA-alternate-name,GEMMA-guid,GEMMA-guid,GEMMA-type,GEMMA-type,datum-tijd-export,GGM-toelichting
0,Aanwezige Deelnemer,iemand die meedoet aan eencollege- of raadsvergadering,Class,,{F1E55DC7-0F33-40ea-8713-2E1AC3D7EE8D},,Griffie,,,MaatschappelijkeActiviteit,iemand die meedoet aan eencollege- of raadsvergadering,,,,https://gemmaonline.nl/index.php/GEMMA/id-ccf78bc5-8d4a-440f-a642-abcf60149628,,ccf78bc5-8d4a-440f-a642-abcf60149628,,business-object,,04062025-090332,
1,Agendapunt,Een onderwerp dat in de vergadering wordt behandeld.,Class,,{73FB5212-40ED-40dc-B837-36588840445A},,Griffie,,,Agendapunt,Een onderwerp dat in de vergadering wordt behandeld.,,,,https://gemmaonline.nl/index.php/GEMMA/id-34b2e5f9-63ab-42e8-bfa9-85e12ff6e417,,34b2e5f9-63ab-42e8-bfa9-85e12ff6e417,,business-object,,04062025-090332,
2,Categorie,Categorie waarop leveranciers zich voor de levering van personeel voor kunnen kwalificeren,Class,,{B9B82B25-5D7F-4d2b-84F9-4DF74525EEAD},,Griffie,,,,,,,,,,,,,,04062025-090332,
3,Collegelid,Iemand die behoort het college van burgemeester en wethouders,Class,,{7B9EDDFD-57F7-4ff2-938F-FDFA3B503DA8},,Griffie,,,Collegelid,Iemand die behoort het college van burgemeester en wethouders,,,,https://gemmaonline.nl/index.php/GEMMA/id-d0eb8d8b-25c9-4eef-9dc6-4a773d8899a7,,d0eb8d8b-25c9-4eef-9dc6-4a773d8899a7,,business-object,,04062025-090332,
4,Dossier,Samenhangende set gegevens en informatie voor een specifiek doel,Class,,{475E24C9-CC9A-49cc-AB80-8CA0221441E5},,Griffie,,,Dossier,Samenhangende set gegevens en informatie voor een specifiek doel,,,,https://gemmaonline.nl/index.php/GEMMA/id-1364056c-dc25-4855-a75f-eb523f012b02,,1364056c-dc25-4855-a75f-eb523f012b02,,business-object,,04062025-090332,
5,Indiener,Persoon die meldiing of aanvraag doet,Class,,{98CB3C6F-588B-479f-9A2B-F5D5362DD17C},,Griffie,,,Indiener,Persoon die meldiing of aanvraag doet,,,,https://gemmaonline.nl/index.php/GEMMA/id-6e591734-ef9a-4858-bca1-f924c1aef7b0,Indiener (Griffie),6e591734-ef9a-4858-bca1-f924c1aef7b0,,business-object,,04062025-090332,
6,Programma,"Een tijdelijke, flexibele organisatiestructuur, die is opgezet om de implementatie van een verzameling met elkaar samenhangende projecten en activiteiten te coördineren, te sturen en te controleren teneinde te zorgen voor de realisatie van de eindresultaten en benefits die zijn gerelateerd aan de strategische doelstellingen van de organisatie.",Class,,{CA56A59A-F855-4c19-89BE-578B12481EA0},,Griffie,,,,,,,,,,,,,,04062025-090332,
7,Raadscommissie,Een raadscommissie binnen de Nederlandse gemeenteraad is een groep raadsleden die zich buigt over specifieke thema's of beleidsonderwerpen om de besluitvorming in de volledige raad voor te bereiden en te ondersteunen.,Class,,{CB27D699-F82B-45ad-823A-B2B51BCAECBA},,Griffie,,,Raadscommissie,Een raadscommissie binnen de Nederlandse gemeenteraad is een groep raadsleden die zich buigt over specifieke thema's of beleidsonderwerpen om de besluitvorming in de volledige raad voor te bereiden en te ondersteunen.,,,,https://gemmaonline.nl/index.php/GEMMA/id-62126697-6498-4c0a-a84e-2275138c2eaa,,62126697-6498-4c0a-a84e-2275138c2eaa,,business-object,,04062025-090332,
8,Raadslid,Iemand die behoort de gemeenteraad,Class,,{5772BEBB-97FA-42a9-B70D-DB55EAD6D1EE},,Griffie,,,Raadslid,Iemand die behoort de gemeenteraad,,,,https://gemmaonline.nl/index.php/GEMMA/id-db373678-134a-4333-9d49-e86faf5ce531,,db373678-134a-4333-9d49-e86faf5ce531,,business-object,,04062025-090332,
9,Raadsstuk,Stuk dat door de gemeenteraad wordt behandeld,Class,,{440219A4-C64B-4eac-ADE5-E79ED6AA9BFE},,Griffie,,,Raadsstuk,Stuk dat door de gemeenteraad wordt behandeld,,,,https://gemmaonline.nl/index.php/GEMMA/id-378dab8d-1135-40b8-9ed5-3591a89c75c2,,378dab8d-1135-40b8-9ed5-3591a89c75c2,,business-object,,04062025-090332,
